BeeID,ColonyID_queen,ColonyID_workers,QueenID,MicrocolonyID,Treatment,Brood,Time.development.days,Behavioral.assay,Assays.response.summary,Assays.response,LearningTraining.summary,LearningTraining,LearningTest.summary,LearningTest,Sucrose.summary,Sucrose.response,Sucrose.conc.summary,Sucrose.conc,Survival.hours,Wing1.mm,Wing2.mm,Avg.mm,comments
Bee114,MP10,,MT050,QR011,Queen.reared,1stBrood,23,Sucrose,no,0,,,,,no,0,,,23,2.2,2.2,2.2,
Bee115,MP10,,MT050,QR011,Queen.reared,1stBrood,23,Learning,no,0,no,0,,,,,,,,1.9,1.9,1.9,
Bee116,WP7,BS04,MT040,WR012,Worker.reared,1stBrood,25,Sucrose,yes,1,,,,,yes,1,20%,0.2,23,2.7,2.7,2.7,
Bee117,WP7,,MT036,QR006,Queen.reared,1stBrood,25,Sucrose,yes,1,,,,,yes,1,25%,0.25,23,1.8,1.8,1.8,
Bee118,WP9,,MT042,QR003,Queen.reared,1stBrood,27,Learning,yes,1,yes,1,yes,1,,,,,72,1.8,1.8,1.8,
Bee119,MP10,BS05,MT046,QE011,Worker.reared,1stBrood,24,Learning,yes,1,yes,1,yes,1,,,,,,3.3,3.3,3.3,
Bee120,WP7,BS04,MT040,WR012,Worker.reared,1stBrood,23,Sucrose,no,0,,,,,no,0,,,45,2.8,2.8,2.8,
Bee121,WP7,BS04,MT040,WR012,Worker.reared,1stBrood,26,Learning,no,0,yes,1,no,0,,,,,28,2.9,2.9,2.9,
Bee122,MP10,,MT049,QE002,Queen.reared,1stBrood,28,Sucrose,no,0,,,,,no,0,,,24,2.4,2.4,2.4,
Bee123,MP10,,MT049,QE002,Queen.reared,1stBrood,28,Learning,no,0,no,0,,,,,,,24,2.1,2.1,2.1,
Bee124,WP7,BS04,MT023,WR008,Worker.reared,1stBrood,,,,,,,,,,,,,,,,,male
Bee125,WP7,BS04,MT023,WR008,Worker.reared,1stBrood,,,,,,,,,,,,,,,,,male
Bee126,WP7,BS04,MT040,WR012,Worker.reared,1stBrood,26,Learning,no,0,no,0,,,,,,,24,2.7,2.7,2.7,
Bee127,MP10,,MT049,QE002,Queen.reared,1stBrood,28,Learning,yes,1,yes,1,yes,1,,,,,29,2,2,2,
Bee128,WP7,BS04,MT040,WR012,Worker.reared,1stBrood,26,Sucrose,no,0,,,,,no,0,,,24,2.8,2.8,2.8,
Bee129,MP10,BS05,MT045,QE007,Worker.reared,1stBrood,23,Sucrose,yes,1,,,,,yes,1,50%,0.5,24,2.3,2.3,2.3,
Bee130,MP10,BS05,MT045,QE007,Worker.reared,1stBrood,23,Sucrose,yes,1,,,,,yes,1,45%,0.45,24,2.6,2.6,2.6,
Bee131,MP10,BS05,MT045,QE007,Worker.reared,1stBrood,24,Learning,no,0,yes,1,no,0,,,,,24,3,3,3,
Bee132,MP10,BS05,MT045,QE007,Worker.reared,1stBrood,25,Learning,yes,1,yes,1,yes,1,,,,,36,2.1,2.1,2.1,
